[20.096492404844394, 0.0]
[11.065368960773506, 0.0]
[10.580240146315171, 0.0]
java.lang.ArrayIndexOutOfBoundsException
[42.74625229338483, 0.0]
[43.63990216233219, 0.0]
[38.53325081190212, 0.0]
[16.11476646983716, 0.0]
[-25.218819615633528, 0.0]
[-25.187396215623643, 0.0]
[7.595128652641773E9, 0.0]
[7.59512862994987E19, 0.0]
[7.595128629949871E29, 0.0]
[7.595128629949876E39, 0.0]
[7.595128629949869E49, 0.0]
[7.59512862994987E59, 0.0]
[7.595128629949867E69, 0.0]
[7.595128629949872E79, 0.0]
[7.595128629949869E89, 0.0]
[7.595128629949869E99, 0.0]
[7.595128629949874E109, 0.0]
[7.595128629949877E119, 0.0]
[7.595128629949874E129, 0.0]
[7.595128629949869E139, 0.0]
[7.595128629949873E149, 0.0]
[7.595128629949872E159, 0.0]
[7.595128629949876E169, 0.0]
[7.59512862994987E179, 0.0]
[7.595128629949868E189, 0.0]
[7.595128629949871E199, 0.0]
[11.065368960773506]
