[1.0, 0.8803354211316501, 0.11966457886835002]
[0.0, 1.0, 3.506394892754995E-68]
[0.0, 1.0, 3.2537948249601007E-68]
java.lang.ArrayIndexOutOfBoundsException
[0.0, 1.0, 3.977759985592199E-67]
[0.0, 1.0, 3.493476188743132E-66]
[0.0, 0.9999997704448852, 2.2955511478873467E-7]
[0.0, 1.0, 0.0]
[0.0, 1.0, 0.0]
[0.0, 1.0, 0.0]
[0.0, 1.0, 0.0]
[0.0, 1.0, 0.0]
[0.0, 1.0, 0.0]
[0.0, 1.0, 0.0]
[0.0, 1.0, 0.0]
[0.0, 1.0, 0.0]
[0.0, 1.0, 0.0]
[0.0, 1.0, 0.0]
[0.0, 1.0, 0.0]
[0.0, 1.0, 0.0]
[0.0, 1.0, 0.0]
[0.0, 1.0, 0.0]
[0.0, 1.0, 0.0]
[0.0, 1.0, 0.0]
[0.0, 1.0, 0.0]
[0.0, 1.0, 0.0]
[0.0, 1.0, 0.0]
java.lang.AssertionError
